"week","requirement_cluster","review_dataset","count"
"2021-08",144,"zomato",38
"2021-08",146,"foodpanda",18
"2021-08",146,"ubereats",56
"2021-08",146,"zomato",84
"2021-08",147,"foodpanda",4
"2021-08",147,"ubereats",19
"2021-08",147,"zomato",3
"2021-08",148,"foodpanda",25
"2021-08",148,"ubereats",86
"2021-08",148,"zomato",234
"2021-08",149,"foodpanda",25
"2021-08",149,"ubereats",137
"2021-08",149,"zomato",107
"2021-08",150,"foodpanda",14
"2021-08",150,"ubereats",160
"2021-08",150,"zomato",36
"2021-08",151,"foodpanda",12
"2021-08",151,"ubereats",26
"2021-08",151,"zomato",41
"2021-08",152,"ubereats",27
"2021-08",152,"zomato",18
"2021-08",153,"foodpanda",5024
"2021-08",153,"ubereats",14868
"2021-08",153,"zomato",9016
"2021-08",154,"foodpanda",8
"2021-08",154,"ubereats",6
"2021-08",154,"zomato",7
"2021-08",155,"foodpanda",30
"2021-08",155,"ubereats",45
"2021-08",155,"zomato",36
"2021-08",156,"foodpanda",117
"2021-08",156,"ubereats",396
"2021-08",156,"zomato",167
"2021-08",157,"foodpanda",143
"2021-08",157,"ubereats",392
"2021-08",157,"zomato",187
"2021-08",158,"foodpanda",52
"2021-08",158,"ubereats",155
"2021-08",158,"zomato",41
"2021-08",159,"foodpanda",1
"2021-08",159,"ubereats",1
"2021-08",160,"foodpanda",217
"2021-08",160,"ubereats",464
"2021-08",160,"zomato",276
"2021-08",161,"foodpanda",64
"2021-08",161,"ubereats",277
"2021-08",161,"zomato",99
"2021-08",162,"foodpanda",4
"2021-08",162,"ubereats",4
"2021-08",163,"foodpanda",142
"2021-08",163,"ubereats",529
"2021-08",163,"zomato",258
"2021-08",164,"foodpanda",24
"2021-08",164,"ubereats",137
"2021-08",164,"zomato",51
"2021-08",165,"foodpanda",765
"2021-08",165,"ubereats",2435
"2021-08",165,"zomato",1299
"2021-08",166,"foodpanda",63
"2021-08",166,"ubereats",48
"2021-08",166,"zomato",29
